City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saldanha,ZA,-33.0117,17.9442,55.4,76,7,2.3,clear sky
80,Hasaki,JP,35.7333,140.8333,66.2,59,75,20.71,broken clouds
81,Cherskiy,RU,68.75,161.3,2.95,78,25,5.12,scattered clouds
82,Tateyama,JP,34.9833,139.8667,64.99,68,100,7.0,overcast clouds
83,Haines Junction,CA,60.7522,-137.5108,26.6,63,100,16.11,overcast clouds
84,Barstow,US,34.8986,-117.0228,73.4,9,1,5.75,clear sky
85,Hobart,AU,-42.8794,147.3294,62.01,63,40,19.57,scattered clouds
86,Chokurdakh,RU,70.6333,147.9167,3.15,85,100,6.93,overcast clouds
87,Saint-Philippe,RE,-21.3585,55.7679,75.2,83,20,5.75,few clouds
88,Thompson,CA,55.7435,-97.8558,21.2,53,40,8.05,scattered clouds
89,Algiers,DZ,36.7525,3.042,50.0,93,20,2.3,mist
90,Avarua,CK,-21.2078,-159.775,84.2,79,90,18.41,overcast clouds
91,Mbalmayo,CM,3.5167,11.5,69.21,88,100,2.01,overcast clouds
92,Qaanaaq,GL,77.484,-69.3632,-12.82,87,100,5.88,overcast clouds
93,Busselton,AU,-33.65,115.3333,68.38,59,0,6.76,light rain
94,Saint Anthony,US,45.0205,-93.218,37.4,87,90,13.8,moderate rain
95,Norman Wells,CA,65.282,-126.8329,12.2,73,90,16.11,light snow
96,Nabire,ID,-3.3667,135.4833,80.08,83,100,2.24,overcast clouds
97,Severo-Kurilsk,RU,50.6789,156.125,28.09,81,94,33.82,light snow
98,Tasiilaq,GL,65.6145,-37.6368,19.4,45,90,8.05,overcast clouds
99,Codrington,AU,-38.2667,141.9667,65.34,57,9,10.13,clear sky
100,Elko,US,41.0002,-115.5012,57.2,24,1,9.22,clear sky
101,Ugoofaaru,MV,5.6667,73.0,81.63,78,100,16.98,overcast clouds
102,Turochak,RU,52.2576,87.1224,33.35,99,100,0.76,overcast clouds
103,Whitehorse,CA,60.7161,-135.0538,28.0,93,90,8.05,light snow
104,Ballina,AU,-28.8667,153.5667,78.8,57,0,8.05,clear sky
105,Ahipara,NZ,-35.1667,173.1667,67.66,85,100,11.72,overcast clouds
106,Cidreira,BR,-30.1811,-50.2056,72.54,87,100,6.87,overcast clouds
107,Khatanga,RU,71.9667,102.5,0.1,96,93,7.76,overcast clouds
108,Fare,PF,-16.7,-151.0167,82.35,74,6,22.44,light rain
109,Port Alfred,ZA,-33.5906,26.891,61.52,78,56,8.05,light rain
110,Athabasca,CA,54.7169,-113.2854,41.0,65,100,6.91,overcast clouds
111,Guerrero Negro,MX,27.9769,-114.0611,66.47,46,0,13.6,clear sky
112,Pisco,PE,-13.7,-76.2167,69.8,73,0,14.97,clear sky
113,Lompoc,US,34.6391,-120.4579,64.99,59,0,17.27,clear sky
114,Ostrovnoy,RU,68.0531,39.5131,30.79,89,87,23.04,overcast clouds
115,Tikrit,IQ,34.6071,43.6782,49.28,36,0,8.25,clear sky
116,Baruun-Urt,MN,46.6806,113.2792,28.96,48,100,25.3,overcast clouds
117,Sao Filipe,CV,14.8961,-24.4956,69.64,75,0,13.96,clear sky
118,Kodiak,US,57.79,-152.4072,35.6,41,20,33.38,few clouds
119,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,90,5.75,light rain
120,Lotoshino,RU,56.2267,35.6414,32.29,92,100,1.86,overcast clouds
121,Taoudenni,ML,22.6783,-3.9836,77.2,9,38,11.48,scattered clouds
122,Kiruna,SE,67.8557,20.2251,33.8,93,90,11.5,light rain
123,Necochea,AR,-38.5473,-58.7368,61.0,84,17,5.99,few clouds
124,Young,UY,-32.6833,-57.6333,62.01,91,31,7.09,scattered clouds
125,Iqaluit,CA,63.7506,-68.5145,-11.0,77,75,2.3,broken clouds
126,Clarence Town,AU,-32.5833,151.7833,75.99,46,0,4.61,clear sky
127,Tilichiki,RU,60.4667,166.1,11.23,86,100,14.52,overcast clouds
128,Kalvarija,LT,54.4,23.2333,40.24,82,100,8.99,light rain
129,Ribeira Grande,PT,38.5167,-28.7,60.42,81,100,9.26,overcast clouds
130,Lasa,IT,46.6166,10.7002,46.0,80,0,4.61,clear sky
131,Atuona,PF,-9.8,-139.0333,81.19,75,100,19.37,overcast clouds
132,Kaitangata,NZ,-46.2817,169.8464,64.99,76,100,8.01,overcast clouds
133,Luderitz,NA,-26.6481,15.1594,63.28,69,0,11.81,clear sky
134,Malinovskiy,RU,61.1953,62.8397,18.75,95,67,6.33,broken clouds
135,Marawi,PH,7.9986,124.2928,82.0,79,90,1.01,overcast clouds
136,Chapais,CA,49.7834,-74.8492,30.2,64,75,3.44,broken clouds
137,Dumas,US,35.8656,-101.9732,57.99,30,1,11.5,clear sky
138,Ilulissat,GL,69.2167,-51.1,-14.8,53,1,5.75,clear sky
139,Hithadhoo,MV,-0.6,73.0833,83.44,73,100,13.69,overcast clouds
140,Shimoda,JP,34.6667,138.95,64.4,72,75,16.11,broken clouds
141,Brcko,BA,44.8728,18.8083,54.0,81,75,1.14,broken clouds
