City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Bubaque,GW,76.37,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
258,Rock Sound,BS,76.69,clear sky,24.9,-76.2,Rock Sound Club
264,Geraldton,AU,73.4,clear sky,-28.7667,114.6,Broadwater Mariner Resort
266,Yima,CN,65.44,clear sky,34.7381,111.8839,Yima Hotel
267,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
271,Birjand,IR,68.0,clear sky,32.8663,59.2211,Birjand Tourist Hotel
274,Guanay,BO,72.66,light rain,-15.4975,-67.8797,Hotel Ritzy
281,Hobyo,SO,79.66,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
282,Maceio,BR,75.2,mist,-9.6658,-35.7353,Poutur Pousada
283,Nizamabad,IN,76.35,clear sky,18.6667,78.1167,Womens Hostel
284,Mahebourg,MU,73.4,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
287,Guanica,PR,75.99,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
290,Atar,MR,76.96,clear sky,20.5169,-13.0499,Oumou Elghoura
291,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
297,Manama,BH,71.6,clear sky,26.2154,50.5832,Al Safir Hotel & Tower
306,Tiznit,MA,67.5,clear sky,29.5833,-9.5,
310,Carutapera,BR,74.52,overcast clouds,-1.195,-46.02,Lidera
311,Bonthe,SL,78.13,clear sky,7.5264,-12.505,Bonthe Holiday Village
312,Ngunguru,NZ,69.01,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
315,Flinders,AU,73.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
317,Bara,NG,75.79,clear sky,10.3744,10.7288,
318,Miri,MY,77.0,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
322,Praya,CV,68.0,few clouds,14.9215,-23.5087,LT Aparthotel
329,San Patricio,US,78.8,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
331,Tucuman,AR,68.0,clear sky,-26.8241,-65.2226,HOTEL MIAMI
334,Paranaiba,BR,75.2,few clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
335,Antalaha,MG,74.25,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
339,Alta Floresta,BR,71.13,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
342,Kintampo,GH,77.63,scattered clouds,8.0563,-1.7306,Adomaa Memorial Hotel
347,Mauldin,US,66.2,scattered clouds,34.7787,-82.3101,OYO Hotel Mauldin SC South Main Street
350,Wajid,SO,75.72,overcast clouds,3.8093,43.2471,xamdihotelresturant114
357,Mineiros,BR,68.18,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
358,Tonj,SS,78.64,scattered clouds,7.2737,28.6822,
361,Jobabo,CU,78.8,clear sky,20.9692,-76.2994,Motel De Aguas Claras
362,Huilong,CN,66.0,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
363,Porangatu,BR,73.62,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
365,Mitu,CO,72.66,scattered clouds,1.1983,-70.1733,
368,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
371,Monrovia,LR,77.0,scattered clouds,6.3005,-10.7969,Sunset Inn
375,Ciudad Del Maiz,MX,73.62,clear sky,22.4,-99.6,Hotel Casona del General
376,Hamilton,US,66.2,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
377,Bontang,ID,79.54,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
380,Kindia,GN,69.69,clear sky,10.0569,-12.8658,LES EAUX DE KILISSI
385,Adeje,ES,66.0,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
389,Vao,NC,78.1,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
390,Santa Maria,BR,71.6,light rain,-29.6842,-53.8069,Hotel Morotin
391,Cabo San Lucas,MX,73.99,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
394,Alice Springs,AU,78.8,few clouds,-23.7,133.8833,Desert Palms Alice Springs
398,Nouakchott,MR,69.8,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
401,Rio Pardo De Minas,BR,65.8,broken clouds,-15.6097,-42.5397,Hotel Oásis Cidade Alta
404,Saint-Joseph,RE,75.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
418,Yanam,IN,75.2,fog,16.7333,82.2167,The Regency Hotel
422,Quzhou,CN,67.64,broken clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
423,Tari,NG,74.97,clear sky,12.4086,4.4914,
427,Monkey Bay,MW,75.06,light rain,-14.0728,34.9201,Monkey Bay Beach Lodge
428,Camopi,GF,71.64,overcast clouds,3.1655,-52.3158,
437,Half Moon Bay,US,75.2,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
438,Bosobolo,CD,72.93,few clouds,4.1833,19.9,
439,High Rock,BS,77.0,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
440,Iranshahr,IR,77.0,scattered clouds,27.2025,60.6848,پلکه بزرگ
444,Mpulungu,ZM,70.45,light rain,-8.7623,31.1141,Nhkupi Lodge
446,Vinh,VN,77.85,scattered clouds,18.6667,105.6667,Khách Sạn Thương Mại
447,Idenao,CM,77.0,few clouds,4.2475,9.0047,Moland Beach Resort
449,Dunedin,NZ,68.0,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
452,Payo,ID,75.65,overcast clouds,-3.7508,103.6372,Mess keban agung
453,Berberati,CF,69.24,few clouds,4.2612,15.7922,Prince Virgile ASSOMO-MOMORI
460,Atlantic Beach,US,77.0,clear sky,30.3344,-81.3987,One Ocean Resort & Spa
462,Mayahi,NE,66.42,clear sky,13.9553,7.6712,
464,Wodonga,AU,66.99,overcast clouds,-36.1167,146.8833,The Hume Inn Motel
466,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
468,San Matias,BO,77.99,few clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
472,Dwarka,IN,77.41,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
474,Te Anau,NZ,65.05,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
478,Eyl,SO,77.25,overcast clouds,7.9803,49.8164,Amiin Hotel
479,Kaeo,NZ,69.01,overcast clouds,-35.1,173.7833,Bushido Lodge
482,Sao Jose Da Coroa Grande,BR,76.08,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
486,Namibe,AO,74.93,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
488,Laguna,US,75.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
489,Axim,GH,78.13,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
492,Cockburn Town,TC,77.32,clear sky,21.4612,-71.1419,Osprey Beach Hotel
493,Jacareacanga,BR,73.13,moderate rain,-6.2222,-57.7528,Casa do Ian😎
494,Aden,YE,79.2,clear sky,12.7794,45.0367,Sama Emirate Hotel
495,Puerto Ayacucho,VE,79.18,light rain,5.6639,-67.6236,Posada Turistica Manapiare
496,Sungaipenuh,ID,68.45,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
501,Gunnedah,AU,75.99,broken clouds,-30.9833,150.25,Gunnedah Motor Inn
502,Nueva Loja,EC,71.53,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
503,Paraiso,CR,73.4,few clouds,9.8383,-83.8656,Rinconcito Verde
504,Tecoanapa,MX,78.84,clear sky,16.5167,-98.75,Hotel Manglares
509,Puerto Asis,CO,72.23,scattered clouds,0.5133,-76.5007,Ayawaska Hostal
513,Upata,VE,70.38,broken clouds,8.0086,-62.3989,Posada Villa Nela
516,Australind,AU,72.16,clear sky,-33.2667,115.7167,ON THE ESTUARY
518,Souillac,MU,73.4,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
520,Piacabucu,BR,77.0,broken clouds,-10.4056,-36.4344,Piaçabuçu News
522,Airai,TL,69.82,overcast clouds,-8.9266,125.4092,Juvinal Martin
525,Acarau,BR,76.6,overcast clouds,-2.8856,-40.12,castelo pizzaria
527,Mayumba,GA,79.2,heavy intensity rain,-3.432,10.6554,LIKWALE LODGE
530,Inirida,CO,74.75,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
531,Methala,IN,78.8,mist,10.2166,76.2166,Style Homes Holiday Inn
534,Custodia,BR,70.07,scattered clouds,-8.0875,-37.6431,Hotel do Sertão
536,Amuntai,ID,78.1,overcast clouds,-2.4177,115.2494,Hotel Balqis
539,Pangoa,PE,69.28,overcast clouds,-12.1167,-73.0,
541,Rongcheng,CN,66.56,clear sky,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
542,Buritis,BR,71.1,scattered clouds,-15.6178,-46.4233,Hotel Rainha do Vale
544,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
545,Ambovombe,MG,70.9,clear sky,-25.1667,46.0833,RELAHARA
548,Songea,TZ,66.2,moderate rain,-10.6833,35.65,mtakuja
549,Bud,US,66.2,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
552,Arlit,NE,67.32,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
554,Cap Malheureux,MU,77.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
556,Goundam,ML,74.95,clear sky,16.4145,-3.6708,
557,Barreirinhas,BR,75.83,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
558,Mangrol,IN,77.36,broken clouds,21.1167,70.1167,Hotel The Royal Honours
563,Iberia,US,75.2,overcast clouds,29.9502,-91.7507,back to back rv park
565,Naze,JP,71.6,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
566,Kusti,SD,77.97,clear sky,13.1629,32.6635,فندق الكوباري - Kobari Hotel
570,Deogarh,IN,72.28,clear sky,21.5333,84.7333,RM Hostel
571,Rocha,UY,65.64,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
583,Saint-Pierre,RE,75.2,few clouds,-21.3393,55.4781,Lindsey Hôtel
584,Wewak,PG,79.7,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
587,Beroroha,MG,69.35,clear sky,-21.6667,45.1667,
588,Akyab,MM,77.68,overcast clouds,20.15,92.9,Hotel Memory
590,Jibuti,DJ,75.2,haze,11.5,42.5,Orchid Main Camp Goubet
593,Shasta Lake,US,78.8,clear sky,40.6804,-122.3708,Shasta Dam Motel
597,Lingsugur,IN,78.57,scattered clouds,16.1667,76.5167,Hanamantappa police house
602,Vacaria,BR,66.0,overcast clouds,-28.5122,-50.9339,Pampa Hotel - Vacaria/RS
604,Maiduguri,NG,74.12,clear sky,11.8464,13.1603,Beach Guest Home
605,Port Hueneme,US,73.4,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
609,Port Augusta,AU,68.0,clear sky,-32.5,137.7667,Majestic Oasis Apartments
614,Byron Bay,AU,78.8,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
616,Xuddur,SO,72.16,overcast clouds,4.1213,43.8894,Banjanay Hotel
617,Mon,IN,71.64,clear sky,26.75,95.1,NCK Cottage
618,Comodoro Rivadavia,AR,71.6,clear sky,-45.8667,-67.5,Austral Hotel
620,Talara,PE,71.89,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
622,Olinda,BR,75.2,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
623,Pemba,MZ,75.2,moderate rain,-12.974,40.5178,Guesthouse Samotina
625,Dalbandin,PK,73.31,clear sky,28.8947,64.4101,Sanjrani House
633,Haikou,CN,75.2,few clouds,20.0458,110.3417,Sun City Restaurant
635,Rockledge,US,78.01,clear sky,28.3508,-80.7253,Aladdin Motel
640,Minab,IR,71.6,overcast clouds,27.1467,57.0801,Bam campground
642,Nikki,BJ,77.58,clear sky,9.9401,3.2108,Hotel John
646,Berbera,SO,76.44,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
653,Wanaka,NZ,69.39,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
658,Tumaco,CO,76.32,overcast clouds,1.7986,-78.8156,Dafneruben
663,Trincomalee,LK,79.11,broken clouds,8.5711,81.2335,Welcombe Hotel
665,Porbandar,IN,77.22,broken clouds,21.6422,69.6093,Lords Inn Porbandar
668,Birao,CF,79.3,clear sky,10.2849,22.7882,
670,Mahajanga,MG,78.8,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
673,Pali,IN,75.2,clear sky,25.7667,73.3333,Seervi Hostel
679,Grand-Santi,GF,71.78,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
681,Jacupiranga,BR,70.25,heavy intensity rain,-24.6925,-48.0022,HOTEL SUZYELLEM
684,Doha,QA,73.4,clear sky,25.2867,51.5333,Doha Marriott Hotel
687,Carnot,CF,71.51,scattered clouds,4.9409,15.8665,
692,Iquitos,PE,78.8,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
697,Panguna,PG,78.76,light rain,-6.3164,155.4848,
698,Callaway,US,72.0,overcast clouds,30.153000000000002,-85.5699,Holiday Inn Express & Suites Panama City-Tyndall
710,Huarmey,PE,70.66,broken clouds,-10.0681,-78.1522,Hotel Miramar
712,Mucurapo,TT,77.0,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
713,Vangaindrano,MG,72.09,few clouds,-23.35,47.6,Hotel Fanilo
716,Saint George,US,69.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
717,Mogadishu,SO,79.9,overcast clouds,2.0371,45.3438,Olympic Hotel
719,Sibu,MY,78.8,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
720,Rawson,AR,67.66,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
724,Borazjan,IR,68.0,sand,29.2666,51.2159,شرکت زرمهریار شعبه سوم
737,Carpinteria,US,73.0,clear sky,34.3989,-119.5185,Holiday Inn Express & Suites Carpinteria
741,Ulladulla,AU,70.0,broken clouds,-35.35,150.4667,Sandpiper Motel
746,Nioro,GM,76.8,few clouds,13.35,-15.75,
750,Reyes,BO,73.02,overcast clouds,-14.3167,-67.3833,
751,Red Bluff,US,78.8,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
753,Puerto Madryn,AR,67.86,scattered clouds,-42.7692,-65.0385,Hotel Tolosa
755,Lagunas,PE,74.44,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
756,San Ramon,US,75.99,clear sky,37.7799,-121.978,San Ramon Marriott
760,Chabahar,IR,76.21,overcast clouds,25.2919,60.643,هتل گدروشیا
762,Felipe Carrillo Puerto,MX,76.73,clear sky,19.5833,-88.05,Hotel La Ceiba
765,Changuinola,PA,75.69,clear sky,9.4333,-82.5167,ApartHotel Villa Esmeralda
767,Bilma,NE,67.39,clear sky,18.6853,12.9164,Expeditions Ténére voyages
768,Oussouye,SN,73.4,clear sky,12.485,-16.5469,Auberge du Routard
775,Jutai,BR,73.63,overcast clouds,-5.1833,-68.9,
779,Ranapur,IN,78.17,clear sky,22.65,74.5333,My Indraprasth Tourist Homestay
780,Farafangana,MG,73.76,few clouds,-22.8167,47.8333,Miarina
784,San Isidro,PE,70.0,clear sky,-12.1167,-77.05,Soul Mate-Inn
785,Sorong,ID,78.12,moderate rain,-0.8833,131.25,The Waigo Hotel
788,Riyadh,SA,73.4,clear sky,24.6877,46.7219,InterContinental Riyadh
791,Jati,PK,74.64,broken clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
793,Morgan City,US,75.99,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
794,Kalangala,UG,68.0,light rain,-0.3089,32.225,Ssese Habitat Resort
795,Werda,BW,65.95,clear sky,-25.2667,23.2833,
796,Kolaras,IN,75.74,clear sky,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
800,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
801,Intipuca,SV,79.09,clear sky,13.1969,-88.0544,Tropiclub Playa El Cuco
802,Gorom-Gorom,BF,77.38,clear sky,14.4439,-0.2361,
806,Estelle,US,78.8,broken clouds,29.8458,-90.1067,Ohio
807,Unai,BR,70.7,scattered clouds,-16.3575,-46.9061,Hotel Regente
815,Mumford,GH,78.82,clear sky,5.2618,-0.759,Spanish Villa
816,Mecca,SA,69.51,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
820,Morro Bay,US,70.0,clear sky,35.3658,-120.8499,Inn at Morro Bay
823,Porto Velho,BR,77.0,light rain,-8.7619,-63.9039,Hotel Central
826,Navirai,BR,77.59,overcast clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
827,Salinas,US,69.8,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
830,Bondoukou,CI,73.65,light rain,8.0333,-2.8,Prestige Hotel
835,Taft,IR,68.0,dust,31.7471,54.2088,بوم گردی حاجی زینل تفت
836,Kavali,IN,73.99,overcast clouds,14.9167,79.9833,Lic B.M Quearter's
838,Adelaide,AU,69.01,scattered clouds,-34.9333,138.6,The Chancellor on Currie
839,Aripuana,BR,72.39,few clouds,-9.1667,-60.6333,
840,Kananga,CD,68.0,broken clouds,-5.8958,22.4178,Guest House Wood Land
841,Richards Bay,ZA,70.23,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
843,Boende,CD,70.48,light rain,-0.2167,20.8667,
844,Puerto Leguizamo,CO,73.53,overcast clouds,-0.1934,-74.7819,la casona de juancho
845,Sumbe,AO,76.75,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
847,Areia Branca,BR,78.35,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
848,West Richland,US,66.2,clear sky,46.3043,-119.3614,Horn Rapids RV Resort
849,Odienne,CI,79.32,clear sky,9.51,-7.5692,Oustaz Vame DIAKITE
850,Rodrigues Alves,BR,73.26,scattered clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
852,Barahona,DO,77.25,clear sky,18.2085,-71.1008,Hotel Caribe
854,Kabo,CF,78.03,broken clouds,7.6994,18.629,
859,Hirara,JP,77.0,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
862,Yulara,AU,78.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
863,Carupano,VE,74.7,overcast clouds,10.6678,-63.2585,Hotel La dorada
867,Kidal,ML,69.51,clear sky,18.4411,1.4078,
869,Grand-Lahou,CI,77.74,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
870,Rosario Oeste,BR,75.99,few clouds,-14.8361,-56.4275,ARLS Cavaleiros da Fraternidade n°67
874,Chicama,PE,72.34,overcast clouds,-7.8447,-79.1469,Chicama Me Gusta
878,Lambarene,GA,74.95,scattered clouds,-0.7001,10.2406,Le Refuge
886,Batemans Bay,AU,69.01,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
888,Placerville,US,69.01,clear sky,38.7296,-120.7986,Historic Cary House Hotel
889,Muisne,EC,76.21,broken clouds,0.6,-80.0333,Quinta Samay
890,Pringsewu,ID,75.67,overcast clouds,-5.3582,104.9744,Urban Style by Front One
891,Cuamba,MZ,67.03,light rain,-14.8031,36.5372,Hotel Vision
897,Brenham,US,77.0,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
898,Horizontina,BR,68.0,light rain,-27.6258,-54.3078,Hotel Avenida
899,Mana,GF,76.44,broken clouds,5.6592,-53.7767,LE SAMANA
902,Tshikapa,CD,67.21,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
904,Avera,US,75.2,haze,33.194,-82.5271,
905,Bajil,YE,76.59,clear sky,15.0584,43.2851,فندق الجلال
908,Jacmel,HT,77.58,clear sky,18.2342,-72.5347,Hotel Florita
909,Lagos,NG,78.89,overcast clouds,6.5833,3.75,
912,Cabedelo,BR,78.8,broken clouds,-6.9811,-34.8339,Hotel Pigalle
916,Aquiraz,BR,77.0,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
918,Meiganga,CM,70.3,scattered clouds,6.5167,14.3,DFR HOUSE
920,Itoman,JP,77.0,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
921,Mongomo,GQ,69.1,overcast clouds,1.6274,11.3135,Mbon Ekua
924,Itarema,BR,76.01,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
933,Bakau,GM,69.8,scattered clouds,13.4781,-16.6819,Badala Park Hotel
